Phyllum,Subphyllym ,Superclass ,Class ,Subclass ,Superorder,Order,Suborder,Infraorder,Parvorder,Superfamily,Family,Specie,Sitio,Latitud,Longitude,Altitude,Habitat_type,Reference,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Lago Tinquilco,-39.170,-71.710,763,Lagoon,"De los Ríos et al., 2007",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Laguna Negra,-39.250,-71.700,1550,Lagoon,De los Rios & Roa 2010,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella chiloensis Gonzalez & Watling, 2001",Mahuidanche,-39.250,-72.780,101,River,De los Ríos-Escalante et al. 2012,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella simplex  Schellenberg, 1943",Lago Quillelhue,-39.560,-71.530,1015,Lagoon,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella costera Gonzalez & Watling, 2001",Isla Teja,-39.800,-73.200,0,Wetland,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella costera Gonzalez & Watling, 2001",Puerto Montt,-41.460,-72.900,10,Stream,De los Ríos-Escalante et al. 2012a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella simplex  Schellenberg, 1943",Lago Sargazo,-41.500,-72.600,354,Lagoon,De los Ríos-Escalante et al. 2012b,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella simplex  Schellenberg, 1943",Mallín cerca de Lago Sargazo,-41.500,-72.610,235,Ephemeral pools,De los Ríos-Escalante et al. 2012b,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella chiloensis Gonzalez & Watling, 2001",Parque Katalapi 1,-41.510,-72.750,48,Wetland,De los Ríos-Escalante & Rueda 2014,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella chiloensis Gonzalez & Watling, 2001",Parque Katalapi 2,-41.510,-72.750,55,Wetland,De los Ríos-Escalante & Rueda 2014,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella simplex  Schellenberg, 1943",Lago Chaiquenes,-41.550,-72.530,538,Lagoon,De los Ríos-Escalante et al. 2012b,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella chiloensis Gonzalez & Watling, 2001",Notuco,-42.650,-73.810,462,Stream,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella franciscae González & Watling, 2001",Lago Risopatrón,-44.250,-72.510,144,Lake,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella chiloensis Gonzalez & Watling, 2001",Río Ñirepan,-45.570,-72.050,NA,River,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella chiloensis Gonzalez & Watling, 2001",Río Balmaceda 1,-44.880,-71.730,10,River,De los Ríos-Escalante et al. 2012b,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Lago Pólux,-45.710,-71.880,677,Lake,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella chiloensis Gonzalez & Watling, 2001",Río Balmaceda 5,-45.710,-71.700,502,River,De los Ríos-Escalante et al. 2014,,,,,
